USE_ID,CATCH_TYPE,USE_DESC
1143,PRIMARY,Barrington PS
1857,PRIMARY,Woodport PS
1271,PRIMARY,Bobs Farm PS
4651,PRIMARY,Oran Park PS
1558,PRIMARY,Chillingham PS
4101,PRIMARY,Murwillumbah EPS
2687,PRIMARY,Murwillumbah PS
4547,PRIMARY,Tanilba Bay PS
2512,PRIMARY,Medowie PS
4372,PRIMARY,Irrawang PS
2149,PRIMARY,Heathcote PS
3159,PRIMARY,Tanja PS
2843,PRIMARY,Parramatta WPS
2223,PRIMARY,Jennings PS
1654,PRIMARY,Corindi PS
7445,PRIMARY,Woy Woy PS
2841,PRIMARY,Wooli PS
4329,PRIMARY,Woy Woy SPS
1186,PRIMARY,Belmore SPS
2510,PRIMARY,The Meadows PS
1801,PRIMARY,Duranbah PS
1696,PRIMARY,Cudgen PS
4450,PRIMARY,Berinba PS
4346,PRIMARY,Kingswood Park PS
2852,PRIMARY,Peats Ridge PS
2987,PRIMARY,Rosebank PS
2231,PRIMARY,Jerrys Plains PS
2056,PRIMARY,Goulburn SPS
4459,PRIMARY,Woodberry PS
2528,CENTRAL_PRIMARY,Merriwa CS
2656,PRIMARY,Mudgee PS
3995,PRIMARY,Umina Beach PS
1455,PRIMARY,Burwood PS
4191,PRIMARY,Lalor Park PS
1656,PRIMARY,Corndale PS
1185,PRIMARY,Belmore NPS
2439,PRIMARY,Macdonald Valley PS
3354,PRIMARY,Wallerawang PS
4311,PRIMARY,Bardia PS
2507,PRIMARY,Mayfield WPS
1621,CENTRAL_PRIMARY,Coolah CS
1073,PRIMARY,Auburn NPS
4555,PRIMARY,Cudgegong Valley PS
3435,PRIMARY,White Cliffs PS
3442,CENTRAL_PRIMARY,Wilcannia CS
4508,PRIMARY,Valley View PS
2840,PRIMARY,Parramatta PS
4013,PRIMARY,Peakhurst WPS
3970,PRIMARY,Collaroy Plateau PS
3984,PRIMARY,Balgowlah NPS
1850,PRIMARY,Epping PS
3906,PRIMARY,Narrabeen NPS
2009,PRIMARY,Glenmore Rd PS
4453,PRIMARY,Blackett PS
1644,PRIMARY,Coraki PS
4177,PRIMARY,Albert Park PS
4476,PRIMARY,Shalvey PS
4663,PRIMARY,Bella Vista PS
4147,PRIMARY,Erskineville PS
3719,PRIMARY,Annangrove PS
3578,PRIMARY,Pottsville Beach PS
4249,PRIMARY,Wheeler Hts PS
2086,PRIMARY,Greystanes PS
3038,PRIMARY,Sans Souci PS
4526,PRIMARY,Matthew Pearce PS
4057,PRIMARY,Birrong PS
3302,PRIMARY,Ulladulla PS
4058,PRIMARY,Leumeah PS
3702,PRIMARY,Georges Hall PS
2374,PRIMARY,Largs PS
3789,PRIMARY,Condell Park PS
4259,PRIMARY,Burraneer Bay PS
7418,PRIMARY,Gardeners Rd PS
4422,PRIMARY,Emerton PS
7408,PRIMARY,Bourke St PS
4368,PRIMARY,Wakehurst PS
1946,PRIMARY,Frenchs Forest PS
4420,PRIMARY,Nuwarra PS
2560,PRIMARY,Milperra PS
4012,PRIMARY,Panania NPS
3736,PRIMARY,Balgowlah Hts PS
3950,PRIMARY,Manly Village PS
4627,PRIMARY,Newington PS
4059,PRIMARY,Wattawa Hts PS
2016,PRIMARY,Glenreagh PS
1560,PRIMARY,Chipping Norton PS
3846,PRIMARY,Melrose Park PS
4620,PRIMARY,Glendore PS
7420,PRIMARY,Hamilton PS
3690,PRIMARY,Oxley Vale PS
1098,PRIMARY,Bald Blair PS
4293,PRIMARY,St Ives NPS
